Id,F1,F2,F3,F4,F5,F6,F7,F8
14447,-1.227100e+02,3.788000e+01,2.100000e+01,2.845000e+03,5.520000e+02,5.990000e+02,2.500000e+02,4.312500e+00
14448,-1.204500e+02,3.496000e+01,2.100000e+01,2.121000e+03,4.450000e+02,2.211000e+03,4.630000e+02,4.060300e+00
14449,-1.178900e+02,3.360000e+01,3.600000e+01,1.496000e+03,2.470000e+02,4.410000e+02,2.030000e+02,7.816400e+00
14450,-1.222700e+02,3.790000e+01,5.200000e+01,2.041000e+03,2.700000e+02,6.710000e+02,2.530000e+02,6.941400e+00
14451,-1.184500e+02,3.407000e+01,1.300000e+01,4.284000e+03,1.452000e+03,3.806000e+03,1.252000e+03,1.312500e+00
14452,-1.183900e+02,3.404000e+01,4.100000e+01,1.010000e+02,2.300000e+01,8.500000e+01,3.000000e+01,4.125000e+00
14453,-1.215500e+02,3.910000e+01,2.700000e+01,1.783000e+03,4.410000e+02,1.163000e+03,4.090000e+02,1.285700e+00
14454,-1.172000e+02,3.358000e+01,2.000000e+00,3.045000e+04,5.033000e+03,9.419000e+03,3.197000e+03,4.593600e+00
14455,-1.222400e+02,3.749000e+01,3.000000e+01,2.956000e+03,5.900000e+02,1.191000e+03,5.940000e+02,3.746300e+00
14456,-1.197700e+02,3.673000e+01,4.400000e+01,1.960000e+03,3.930000e+02,1.286000e+03,3.810000e+02,2.151800e+00
14457,-1.183500e+02,3.405000e+01,4.700000e+01,2.815000e+03,6.790000e+02,1.533000e+03,5.940000e+02,2.580600e+00
14458,-1.206100e+02,3.511000e+01,1.100000e+01,3.733000e+03,8.310000e+02,1.839000e+03,7.390000e+02,3.306200e+00
14459,-1.182800e+02,3.394000e+01,3.200000e+01,1.381000e+03,3.750000e+02,1.268000e+03,3.540000e+02,1.105100e+00
14460,-1.182600e+02,3.406000e+01,3.800000e+01,7.150000e+02,2.820000e+02,1.174000e+03,3.000000e+02,2.345000e+00
14461,-1.241000e+02,4.095000e+01,1.700000e+01,1.485000e+03,3.450000e+02,8.230000e+02,3.160000e+02,1.899300e+00
14462,-1.183300e+02,3.389000e+01,3.900000e+01,1.880000e+03,3.610000e+02,9.820000e+02,3.570000e+02,4.195300e+00
14463,-1.224300e+02,3.774000e+01,5.200000e+01,2.637000e+03,5.390000e+02,1.159000e+03,4.970000e+02,3.884600e+00
14464,-1.221200e+02,3.775000e+01,2.800000e+01,7.940000e+02,1.110000e+02,3.290000e+02,1.090000e+02,7.692300e+00
14465,-1.224300e+02,3.779000e+01,5.200000e+01,3.020000e+03,8.420000e+02,1.294000e+03,7.690000e+02,3.437500e+00
14466,-1.178600e+02,3.373000e+01,3.000000e+01,2.651000e+03,5.720000e+02,3.249000e+03,5.520000e+02,3.720200e+00
14467,-1.223600e+02,3.758000e+01,5.200000e+01,3.084000e+03,5.950000e+02,1.324000e+03,5.710000e+02,5.075600e+00
14468,-1.181000e+02,3.405000e+01,3.100000e+01,3.559000e+03,7.340000e+02,2.975000e+03,7.150000e+02,3.756000e+00
14469,-1.170100e+02,3.275000e+01,2.600000e+01,4.038000e+03,7.060000e+02,2.065000e+03,6.870000e+02,3.954500e+00
14470,-1.180900e+02,3.384000e+01,2.700000e+01,1.594000e+03,2.950000e+02,1.061000e+03,3.200000e+02,4.791700e+00
14471,-1.237600e+02,4.103000e+01,2.400000e+01,2.386000e+03,5.650000e+02,1.058000e+03,4.140000e+02,2.064400e+00
14472,-1.216100e+02,3.913000e+01,3.300000e+01,2.559000e+03,5.390000e+02,1.583000e+03,5.040000e+02,1.472700e+00
14473,-1.181900e+02,3.396000e+01,2.800000e+01,3.507000e+03,9.690000e+02,3.740000e+03,9.700000e+02,2.016200e+00
14474,-1.178700e+02,3.412000e+01,3.400000e+01,1.004000e+03,2.200000e+02,7.720000e+02,2.170000e+02,3.857100e+00
14475,-1.220100e+02,3.736000e+01,1.600000e+01,1.105000e+03,3.540000e+02,4.990000e+02,3.240000e+02,4.206100e+00
14476,-1.220700e+02,3.788000e+01,1.100000e+01,1.077000e+03,3.180000e+02,5.900000e+02,2.640000e+02,3.553600e+00
14477,-1.184700e+02,3.404000e+01,3.200000e+01,2.909000e+03,7.480000e+02,1.310000e+03,7.060000e+02,4.516000e+00
14478,-1.181900e+02,3.398000e+01,3.300000e+01,1.510000e+02,8.300000e+01,3.800000e+02,8.300000e+01,1.422400e+00
14479,-1.173400e+02,3.411000e+01,2.900000e+01,2.912000e+03,5.660000e+02,2.188000e+03,5.180000e+02,3.265600e+00
14480,-1.182200e+02,3.407000e+01,3.600000e+01,8.390000e+02,2.500000e+02,1.079000e+03,2.450000e+02,1.746300e+00
14481,-1.185500e+02,3.417000e+01,3.600000e+01,2.127000e+03,2.970000e+02,7.610000e+02,2.740000e+02,7.839200e+00
14482,-1.179400e+02,3.385000e+01,3.700000e+01,5.880000e+02,1.210000e+02,4.360000e+02,1.040000e+02,4.275000e+00
14483,-1.179000e+02,3.380000e+01,2.300000e+01,1.368000e+03,3.970000e+02,1.940000e+03,3.580000e+02,3.078900e+00
14484,-1.181600e+02,3.408000e+01,4.300000e+01,1.523000e+03,3.780000e+02,1.338000e+03,3.520000e+02,3.203100e+00
14485,-1.223000e+02,3.798000e+01,2.500000e+01,3.807000e+03,8.060000e+02,1.821000e+03,7.920000e+02,3.651800e+00
14486,-1.178300e+02,3.393000e+01,1.400000e+01,1.956000e+03,2.820000e+02,6.710000e+02,2.690000e+02,6.584100e+00
14487,-1.173800e+02,3.394000e+01,2.100000e+01,2.468000e+03,3.800000e+02,1.164000e+03,3.850000e+02,4.062500e+00
