Id,F1,F2,F3,F4,F5,F6,F7,F8
0,-1.181800e+02,3.403000e+01,4.400000e+01,1.629000e+03,4.200000e+02,1.893000e+03,3.870000e+02,2.299100e+00
1,-1.180300e+02,3.397000e+01,3.900000e+01,1.996000e+03,3.890000e+02,1.029000e+03,3.870000e+02,4.650000e+00
2,-1.201500e+02,3.769000e+01,1.300000e+01,8.660000e+02,2.520000e+02,3.690000e+02,1.650000e+02,2.875000e+00
3,-1.182500e+02,3.406000e+01,1.200000e+01,4.011000e+03,1.438000e+03,1.673000e+03,1.088000e+03,5.308100e+00
4,-1.183200e+02,3.394000e+01,3.600000e+01,1.722000e+03,2.800000e+02,8.300000e+02,2.610000e+02,4.053600e+00
5,-1.179100e+02,3.384000e+01,2.500000e+01,1.021000e+03,2.520000e+02,9.750000e+02,2.580000e+02,3.125000e+00
6,-1.186100e+02,3.425000e+01,1.600000e+01,8.295000e+03,1.506000e+03,3.903000e+03,1.451000e+03,5.511100e+00
7,-1.155500e+02,3.278000e+01,5.000000e+00,2.652000e+03,6.060000e+02,1.767000e+03,5.360000e+02,2.802500e+00
8,-1.190200e+02,3.543000e+01,3.900000e+01,2.033000e+03,3.700000e+02,9.560000e+02,3.790000e+02,3.173600e+00
9,-1.178900e+02,3.366000e+01,3.200000e+01,2.736000e+03,5.500000e+02,1.279000e+03,5.340000e+02,5.542200e+00
10,-1.220000e+02,3.733000e+01,3.000000e+01,4.033000e+03,7.940000e+02,1.788000e+03,8.070000e+02,5.693200e+00
11,-1.183500e+02,3.395000e+01,3.000000e+01,2.661000e+03,7.650000e+02,2.324000e+03,7.240000e+02,3.051900e+00
12,-1.156000e+02,3.304000e+01,3.100000e+01,3.140000e+02,6.100000e+01,1.520000e+02,5.600000e+01,3.347200e+00
13,-1.224400e+02,3.771000e+01,5.200000e+01,2.711000e+03,5.910000e+02,1.848000e+03,5.240000e+02,3.956700e+00
14,-1.225000e+02,3.882000e+01,1.200000e+01,2.394000e+03,4.430000e+02,8.770000e+02,3.410000e+02,2.562500e+00
15,-1.194600e+02,3.691000e+01,1.200000e+01,2.980000e+03,4.950000e+02,1.184000e+03,4.290000e+02,3.914100e+00
16,-1.210500e+02,3.765000e+01,5.000000e+00,3.096000e+03,5.450000e+02,1.760000e+03,5.190000e+02,4.570100e+00
17,-1.183500e+02,3.395000e+01,4.200000e+01,1.779000e+03,4.310000e+02,1.507000e+03,3.800000e+02,2.889200e+00
18,-1.183300e+02,3.412000e+01,2.300000e+01,1.894000e+03,4.160000e+02,7.690000e+02,3.920000e+02,6.035200e+00
19,-1.226500e+02,3.824000e+01,2.400000e+01,1.948000e+03,3.100000e+02,9.220000e+02,3.130000e+02,4.950000e+00
20,-1.208300e+02,3.536000e+01,2.800000e+01,4.323000e+03,8.860000e+02,1.650000e+03,7.050000e+02,2.726600e+00
21,-1.237500e+02,4.011000e+01,3.500000e+01,2.052000e+03,4.770000e+02,9.000000e+02,4.020000e+02,1.962500e+00
22,-1.181600e+02,3.378000e+01,3.900000e+01,4.075000e+03,1.085000e+03,2.470000e+03,1.025000e+03,2.331700e+00
23,-1.218400e+02,3.725000e+01,2.500000e+01,5.939000e+03,9.890000e+02,3.275000e+03,9.540000e+02,5.648800e+00
